framenum,time,skier,centrex,centrey,safe
64,4.266666666666667,1,530,148,False
64,4.266666666666667,2,583,192,True
64,4.266666666666667,3,583,241,True
64,4.266666666666667,4,456,475,True
64,4.266666666666667,5,362,667,False
65,4.333333333333333,0,380,153,False
65,4.333333333333333,1,530,148,False
65,4.333333333333333,2,583,192,True
65,4.333333333333333,3,583,242,True
65,4.333333333333333,4,455,476,True
65,4.333333333333333,5,361,668,False
66,4.4,0,381,154,False
66,4.4,1,530,149,False
66,4.4,2,582,194,True
66,4.4,3,584,244,True
66,4.4,4,454,479,True
66,4.4,5,359,670,False
67,4.466666666666667,0,381,154,False
67,4.466666666666667,1,529,149,False
67,4.466666666666667,2,582,195,True
67,4.466666666666667,3,585,245,True
67,4.466666666666667,4,453,480,True
67,4.466666666666667,5,359,671,False
68,4.533333333333333,0,381,153,False
68,4.533333333333333,1,530,149,False
68,4.533333333333333,2,582,197,True
68,4.533333333333333,3,585,246,True
68,4.533333333333333,4,451,483,True
68,4.533333333333333,5,357,673,False
69,4.6,0,380,154,False
69,4.6,1,530,149,False
69,4.6,2,581,198,True
69,4.6,3,586,247,True
69,4.6,4,450,485,True
69,4.6,5,356,673,False
70,4.666666666666667,0,380,153,False
70,4.666666666666667,1,530,149,False
70,4.666666666666667,2,581,199,True
70,4.666666666666667,3,586,248,True
70,4.666666666666667,4,449,487,True
70,4.666666666666667,5,357,673,False
71,4.733333333333333,0,380,153,False
71,4.733333333333333,1,531,149,False
71,4.733333333333333,2,580,201,True
71,4.733333333333333,3,587,250,True
71,4.733333333333333,4,447,490,True
71,4.733333333333333,5,357,673,False
72,4.8,0,380,153,False
72,4.8,1,530,149,False
72,4.8,2,579,202,True
72,4.8,3,587,250,True
72,4.8,4,446,491,True
72,4.8,5,357,673,False
73,4.866666666666666,0,380,153,False
73,4.866666666666666,1,530,148,False
73,4.866666666666666,2,578,204,True
73,4.866666666666666,3,588,252,True
73,4.866666666666666,4,445,494,True
73,4.866666666666666,5,357,673,False
74,4.933333333333334,0,380,153,False
74,4.933333333333334,1,531,148,False
74,4.933333333333334,2,577,205,True
74,4.933333333333334,3,587,253,True
74,4.933333333333334,4,443,496,True
74,4.933333333333334,5,357,673,False
75,5.0,0,380,153,False
75,5.0,1,530,148,False
75,5.0,2,577,206,True
75,5.0,3,587,254,True
75,5.0,4,442,498,True
75,5.0,5,357,673,False
76,5.066666666666666,0,381,153,False
76,5.066666666666666,1,530,148,False
76,5.066666666666666,2,577,209,True
76,5.066666666666666,3,588,255,True
76,5.066666666666666,4,441,500,True
76,5.066666666666666,5,357,673,False
77,5.133333333333334,0,381,153,False
77,5.133333333333334,1,531,149,False
77,5.133333333333334,2,576,209,True
77,5.133333333333334,3,587,256,True
77,5.133333333333334,4,440,501,True
77,5.133333333333334,5,357,673,False
78,5.2,0,381,152,False
78,5.2,1,530,149,False
78,5.2,2,574,211,True
78,5.2,3,588,258,True
78,5.2,4,438,504,True
78,5.2,5,357,673,False
79,5.266666666666667,0,381,153,False
79,5.266666666666667,1,530,149,False
79,5.266666666666667,2,574,213,True
79,5.266666666666667,3,586,259,True
79,5.266666666666667,4,437,507,True
79,5.266666666666667,5,357,673,False
80,5.333333333333333,0,381,153,False
80,5.333333333333333,1,531,149,False
80,5.333333333333333,2,573,214,True
80,5.333333333333333,3,587,260,True
